customer_id,name,email,signup_date,last_purchase_date,age,location,loyalty_score,churn
1,John Frye,krodriguez@example.net,2024-02-17,2024-01-30,64,Loriside,0.1385501423654173,1
2,Thomas Castro,matthewdean@example.com,2023-05-18,2024-05-04,62,Williambury,0.17657142221552868,0
3,Daniel Hawkins,davispaul@example.net,2023-09-26,2023-08-07,43,Hicksville,0.7245123322332908,0
4,Jorge Mills,thomas16@example.net,2023-07-16,2023-10-07,70,New Robertview,0.2944975021575771,0
5,Alexander Fernandez,ojohnson@example.com,2023-06-04,2023-10-25,66,New Paulstad,0.870868639346104,0
6,Kenneth Jones,michaelmartin@example.org,2023-04-07,2024-05-16,68,Bellmouth,0.12168547035051347,0
7,Scott Garcia,gsheppard@example.com,2023-07-25,2024-02-08,44,Parkerland,0.41589900321415285,0
8,Nicole Hardy,jameshicks@example.com,2023-07-04,2023-08-04,50,Lisaside,0.4206772023366042,0
9,Brenda Newman,mark98@example.com,2023-03-19,2023-08-10,64,Raymondton,0.9910398001246202,0
10,Amanda Gonzalez,jharris@example.net,2024-05-04,2024-05-09,52,Port Dawn,0.4842910366793538,0
11,Jordan Terry,jamescochran@example.com,2024-03-18,2023-08-09,36,Romeroland,0.9827814815648533,1
12,Timothy Ortega,aguilarallison@example.net,2022-08-27,2023-07-29,46,Connormouth,0.816409406236472,0
13,Kimberly Todd,tashley@example.org,2023-10-30,2023-07-17,67,Kimberlyshire,0.18751987361851052,1
14,Stephen Cobb,madelinesmith@example.net,2022-07-31,2024-02-25,50,Port Christopherborough,0.48467346007536216,0
15,Monica Williams,perrydavid@example.net,2022-11-16,2024-05-15,24,Lake Tiffany,0.7053167179725917,0
16,Michael Mahoney,stephaniedudley@example.com,2023-08-20,2024-05-22,25,South Jessicaborough,0.9712802622810164,0
17,Jacqueline Castro,saracollins@example.net,2024-01-24,2024-01-15,46,Fisherport,0.5678588689692103,1
18,Alex Hall,egonzalez@example.net,2023-03-13,2023-10-10,24,Pattonville,0.9286218970860558,0
19,Madison Stevenson,jacobsimpson@example.com,2023-10-21,2024-03-04,64,Carrfurt,0.30614323640607166,0
20,Mary Murray,cmurphy@example.net,2022-09-21,2023-11-04,51,Lake Kevin,0.13876596209667547,0
21,April Mahoney,jamesrodriguez@example.org,2023-04-24,2024-06-07,61,Williamston,0.0017555107867990305,0
22,Mark Roberson,rfernandez@example.org,2024-03-30,2023-08-04,69,Waltersport,0.29824427450418356,0
23,William Bean,anthonyfreeman@example.com,2023-01-23,2024-05-17,26,Deborahbury,0.14653993140655253,1
24,Elizabeth Jones,mariawolfe@example.com,2022-11-30,2024-04-03,66,Pattersonview,0.5870347461653865,0
25,Samantha Johnson,charleswinters@example.net,2024-05-02,2024-02-10,43,South Randytown,0.4701416038933589,0
